% of data used,Random_Seed,Iteration,Number of experiments,yield_Measurements,yield_IterBest,Best cumulative yield,Initial_Data
0,1379,9,20,"[80.86, 8.82]",80.86,99.98,
0,1380,0,2,"[0.0, 60.29]",60.29,60.29,
0,1380,1,4,"[13.88, 13.79]",13.88,60.29,
0,1380,2,6,"[52.47, 14.29]",52.47,60.29,
0,1380,3,8,"[80.86, 18.93]",80.86,80.86,
0,1380,4,10,"[98.38, 25.77]",98.38,98.38,
0,1380,5,12,"[28.9, 99.22]",99.22,99.22,
0,1380,6,14,"[0.51, 32.21]",32.21,99.22,
0,1380,7,16,"[99.81, 99.98]",99.98,99.98,
0,1380,8,18,"[92.19, 71.81]",92.19,99.98,
0,1380,9,20,"[52.08, 3.04]",52.08,99.98,
0,1381,0,2,"[78.6, 4.87]",78.6,78.6,
0,1381,1,4,"[3.04, 0.0]",3.04,78.6,
0,1381,2,6,"[0.0, 7.54]",7.54,78.6,
0,1381,3,8,"[12.07, 61.67]",61.67,78.6,
0,1381,4,10,"[0.74, 76.24]",76.24,78.6,
0,1381,5,12,"[84.67, 48.91]",84.67,84.67,
0,1381,6,14,"[80.39, 84.49]",84.49,84.67,
0,1381,7,16,"[5.95, 48.34]",48.34,84.67,
0,1381,8,18,"[51.83, 77.01]",77.01,84.67,
0,1381,9,20,"[38.79, 6.23]",38.79,84.67,
0,1382,0,2,"[3.02, 0.83]",3.02,3.02,
0,1382,1,4,"[5.65, 44.4]",44.4,44.4,
0,1382,2,6,"[3.33, 25.64]",25.64,44.4,
